pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CU,10/3/22,76,-1.83,6.68,"Mikolas, Miles",669261,571945,,blocked_ball,,,,,14,Jack Suwinski flies out to right fielder Lars Nootbaar.,R,L,R,PIT,STL,B,,,0,0,2022,0.35,-1.46,0.38,-0.36,,,660636,2,5,Bot,,,,,668800,,,4.007002268,-110.4540013,-4.931879795,1.980905282,22.51770202,-43.26566869,3.3,1.46,,,,75.5,2457,6.3,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.21,,,,,,,,37,1,Curveball,0,0,0,0,0,0,0,0,Infield shift,Standard,17,0,0.032
CU,10/3/22,75,-2.69,6.2,"Mikolas, Miles",660636,571945,single,hit_into_play,,,,,12,Diego Castillo singles on a line drive to center fielder Dylan Carlson.,R,R,R,PIT,STL,X,8,line_drive,0,2,2022,1.14,0.55,1.09,2.83,,,,2,5,Bot,128.83,91,,,668800,,,5.790599964,-108.9595522,-0.602127389,7.670987765,23.24454228,-28.01014172,3.33,1.54,210,76.8,19,74.2,2782,6.3,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.22,0.963,0.921,0.9,1,1,0,4,36,3,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,147,0.017,0.157
FF,10/3/22,92.1,-1.8,6.8,"Mikolas, Miles",660636,571945,,foul,,,,,1,Diego Castillo singles on a line drive to center fielder Dylan Carlson.,R,R,R,PIT,STL,S,,,0,1,2022,-0.61,1.49,-0.76,3.05,,,,2,5,Bot,,,,,668800,,,3.939306786,-133.8607389,-6.850161859,-8.188612874,30.5464409,-12.99338001,3.33,1.54,191,69.9,51,91.6,2297,6.2,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.31,,,,,,,,36,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,207,0,-0.023
SI,10/3/22,93.2,-2.12,6.62,"Mikolas, Miles",660636,571945,,called_strike,,,,,6,Diego Castillo singles on a line drive to center fielder Dylan Carlson.,R,R,R,PIT,STL,S,,,0,0,2022,-1.2,1.23,0.48,2.64,,,,2,5,Bot,,,,,668800,,,9.309051743,-135.1919817,-7.077611955,-16.82281575,32.33389192,-15.62459141,3.43,1.61,,,,92.6,2277,6.3,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.17,,,,,,,,36,1,Sinker,0,0,0,0,0,0,0,0,Infield shift,Standard,211,0,-0.017
CU,10/3/22,75.9,-1.87,6.67,"Mikolas, Miles",665833,571945,field_out,hit_into_play,,,,,7,"Oneil Cruz grounds out, second baseman Brendan Donovan to first baseman Paul Goldschmidt.",R,L,R,PIT,STL,X,4,ground_ball,1,1,2022,0.63,-1.43,-0.5,2.03,,,,1,5,Bot,144.69,157.24,,,668800,,,1.734024546,-110.3559038,0.085414379,4.674127358,23.81158039,-43.9314646,3.76,1.82,35,87.5,-1,75.1,2572,6.2,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.28,0.223,0.201,0,1,0,0,2,35,3,Curveball,0,0,0,0,0,0,0,0,Infield shift,Standard,30,-0.022,-0.148
FF,10/3/22,92.7,-1.87,6.64,"Mikolas, Miles",665833,571945,,called_strike,,,,,13,"Oneil Cruz grounds out, second baseman Brendan Donovan to first baseman Paul Goldschmidt.",R,L,R,PIT,STL,S,,,1,0,2022,-0.36,1.34,-0.89,2.24,,,,1,5,Bot,,,,,668800,,,3.300327797,-134.7277149,-8.33673092,-5.135697871,29.8333512,-14.18014176,3.92,1.85,,,,92.5,2302,6.3,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.25,,,,,,,,35,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,203,0,-0.031
CU,10/3/22,75.3,-1.92,6.78,"Mikolas, Miles",665833,571945,,ball,,,,,14,"Oneil Cruz grounds out, second baseman Brendan Donovan to first baseman Paul Goldschmidt.",R,L,R,PIT,STL,B,,,0,0,2022,0.61,-1.35,0.06,1.31,,,,1,5,Bot,,,,,668800,,,3.02100386,-109.574566,-1.703082569,4.263191273,22.69965012,-42.78325765,3.66,1.69,,,,74.8,2476,6.3,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.18,,,,,,,,35,1,Curveball,0,0,0,0,0,0,0,0,Infield shift,Standard,23,0,0.023
CU,10/3/22,76.2,-1.72,6.81,"Mikolas, Miles",666801,571945,field_out,hit_into_play,,,,,5,"Rodolfo Castro grounds out, shortstop Paul DeJong to first baseman Paul Goldschmidt.",R,L,R,PIT,STL,X,6,ground_ball,0,1,2022,0.75,-1.27,0.17,2.68,,,,0,5,Bot,142.19,146.92,,,668800,,,2.622076273,-110.9217581,0.706837001,5.644437153,21.82397312,-42.94100989,3.47,1.6,39,74.9,0,76,2459,6.4,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.14,0.097,0.087,0,1,0,0,2,34,2,Curveball,0,0,0,0,0,0,0,0,Infield shift,Standard,19,-0.029,-0.187
CU,10/3/22,74.9,-1.9,6.77,"Mikolas, Miles",666801,571945,,called_strike,,,,,2,"Rodolfo Castro grounds out, shortstop Paul DeJong to first baseman Paul Goldschmidt.",R,L,R,PIT,STL,S,,,0,0,2022,0.56,-1.28,0.12,3.4,,,,0,5,Bot,,,,,668800,,,3.196267319,-108.9338524,2.591829673,3.772931655,21.80296189,-43.03025162,3.39,1.42,,,,74.6,2429,6.4,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.09,,,,,,,,34,1,Curveball,0,0,0,0,0,0,0,0,Infield shift,Standard,34,0,-0.034
FF,10/3/22,93.6,-1.94,6.65,"Mikolas, Miles",609280,571945,field_out,hit_into_play,,,,,12,Miguel Andujar flies out to right fielder Lars Nootbaar.,R,R,R,PIT,STL,X,9,fly_ball,2,2,2022,-0.15,1.4,1.01,2.87,,,,2,4,Bot,190.28,116.37,,,668800,,,7.916156185,-136.006792,-7.054779359,-3.648237689,31.20522192,-13.38747231,3.23,1.56,260,86.5,46,93.3,2398,6.3,662309,571945,668800,502671,680977,660766,657557,572816,666185,663457,54.2,0.003,0.003,0,1,0,0,3,28,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,209,-0.013,-0.083
